,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,50474076.893707,5340529.67498,593994.115724
Tax Rate For Calcs,0.211348,0.199348,0.194116
Normalized EBITDA,949490000.0,610300000.0,608040000.0
Total Unusual Items,238820000.0,26790000.0,3060000.0
Total Unusual Items Excluding Goodwill,238820000.0,26790000.0,3060000.0
Net Income From Continuing Operation Net Minority Interest,681640000.0,230820000.0,123260000.0
Reconciled Depreciation,171930000.0,157470000.0,155080000.0
Reconciled Cost Of Revenue,5541330000.0,4559990000.0,4112520000.0
EBIT,1016380000.0,479620000.0,456020000.0
Net Interest Income,-181690000.0,-225800000.0,-351160000.0
Interest Expense,152070000.0,191330000.0,303070000.0
Interest Income,5010000.0,7340000.0,6950000.0
Normalized Income,493294076.893707,209370529.67498,120793994.115724
Net Income From Continuing And Discontinued Operation,681640000.0,230820000.0,123260000.0
Total Expenses,7589330000.0,6362960000.0,5921090000.0
Rent Expense Supplemental,20190000.0,20160000.0,20960000.0
Diluted Average Shares,65292577.0,65292577.0,65292577.0
Basic Average Shares,65292577.0,65292577.0,65292577.0
Diluted EPS,10.439778,3.535164,1.88781
Basic EPS,10.439778,3.535164,1.88781
Diluted NI Availto Com Stockholders,681640000.0,230820000.0,123260000.0
Net Income Common Stockholders,681640000.0,230820000.0,123260000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,681640000.0,230820000.0,123260000.0
Net Income Including Noncontrolling Interests,681640000.0,230820000.0,123260000.0
Net Income Continuous Operations,681640000.0,230820000.0,123260000.0
Tax Provision,182670000.0,57470000.0,29690000.0
Pretax Income,864310000.0,288290000.0,152950000.0
Other Non Operating Income Expenses,23490000.0,20130000.0,37580000.0
Special Income Charges,238820000.0,21420000.0,3060000.0
Other Special Charges,-238820000.0,-21420000.0,-3060000.0
Net Non Operating Interest Income Expense,-181690000.0,-225800000.0,-351160000.0
Total Other Finance Cost,34630000.0,41810000.0,55040000.0
