,item,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
0,Tax Effect Of Unusual Items,0.0,-1731592.486038,-1631565.0,Income Statement
1,Tax Rate For Calcs,0.4,0.259999,0.3,Income Statement
2,Normalized EBITDA,4884000.0,11667012.0,19118916.0,Income Statement
3,Total Unusual Items,0.0,-6660000.0,-5438550.0,Income Statement
4,Total Unusual Items Excluding Goodwill,0.0,-6660000.0,-5438550.0,Income Statement
5,Net Income From Continuing Operation Net Minority Interest,392733000.0,367303.0,4505090.0,Income Statement
6,Reconciled Depreciation,3889000.0,4496627.0,5863445.0,Income Statement
7,Reconciled Cost Of Revenue,9886000.0,245850246.0,39753544.0,Income Statement
8,EBIT,995000.0,510385.0,7816921.0,Income Statement
9,Net Interest Income,-461000.0,1776951.0,4052440.0,Income Statement
10,Interest Expense,461000.0,14029.0,159085.0,Income Statement
11,Interest Income,639000.0,1797476.0,4524584.0,Income Statement
12,Normalized Income,392733000.0,5295710.513962,8312075.0,Income Statement
13,Net Income From Continuing And Discontinued Operation,392733000.0,367303.0,4505090.0,Income Statement
14,Total Expenses,16848000.0,233758903.0,90950401.0,Income Statement
15,Rent Expense Supplemental,201000.0,657700.0,1884368.0,Income Statement
16,Diluted Average Shares,162861590.0,2109169000.0,10642000.0,Income Statement
17,Basic Average Shares,162861590.0,2109169000.0,10642000.0,Income Statement
18,Diluted EPS,3.866,0.0002,0.42,Income Statement
19,Basic EPS,3.866,0.0002,0.42,Income Statement
20,Diluted NI Availto Com Stockholders,392733000.0,367303.0,4505090.0,Income Statement
21,Net Income Common Stockholders,392733000.0,367303.0,4505090.0,Income Statement
22,Otherunder Preferred Stock Dividend,0.0,0.0,0.0,Income Statement
23,Preferred Stock Dividends,0.0,,,Income Statement
24,Net Income,392733000.0,367303.0,4505090.0,Income Statement
25,Net Income Including Noncontrolling Interests,392733000.0,367303.0,4505090.0,Income Statement
26,Net Income Discontinuous Operations,0.0,0.0,0.0,Income Statement
27,Net Income Continuous Operations,392733000.0,367303.0,4505090.0,Income Statement
28,Tax Provision,-392199000.0,129052.0,3152746.0,Income Statement
29,Pretax Income,534000.0,496356.0,7657836.0,Income Statement
30,Other Non Operating Income Expenses,2538000.0,3809.0,38029579.0,Income Statement
31,Special Income Charges,0.0,-6660000.0,-5438550.0,Income Statement
32,Other Special Charges,-923734000.0,,5438550.0,Income Statement
33,Write Off,923206000.0,6660000.0,0.0,Income Statement
34,Net Non Operating Interest Income Expense,-461000.0,1776951.0,4052440.0,Income Statement
35,Total Other Finance Cost,7000.0,6496.0,313059.0,Income Statement
36,Interest Expense Non Operating,461000.0,14029.0,159085.0,Income Statement
37,Interest Income Non Operating,639000.0,1797476.0,4524584.0,Income Statement
38,Operating Income,-1542000.0,5375396.0,-28985634.0,Income Statement
39,Operating Expense,6962000.0,-12091343.0,51196857.0,Income Statement
40,Other Operating Expenses,3073000.0,-23914241.0,743760.0,Income Statement
41,Depreciation And Amortization In Income Statement,3889000.0,4496627.0,5863445.0,Income Statement
42,Depreciation Income Statement,3889000.0,4496627.0,5863445.0,Income Statement
43,Selling General And Administration,2872000.0,6484550.0,42104218.0,Income Statement
44,Selling And Marketing Expense,63000.0,17741.0,342103.0,Income Statement
45,General And Administrative Expense,2809000.0,6466809.0,41762115.0,Income Statement
46,Rent And Landing Fees,201000.0,657700.0,1884368.0,Income Statement
47,Gross Profit,5420000.0,-6715947.0,22211223.0,Income Statement
48,Cost Of Revenue,9886000.0,245850246.0,39753544.0,Income Statement
49,Total Revenue,15306000.0,239134299.0,61964767.0,Income Statement
50,Operating Revenue,15306000.0,239134299.0,61964767.0,Income Statement
0,Ordinary Shares Number,162861590.0,162861590.0,10892000.0,Balance Sheet
1,Share Issued,162861590.0,162861590.0,10892000.0,Balance Sheet
2,Net Debt,,51520889.0,108256518.0,Balance Sheet
3,Total Debt,1000000.0,54652648.0,111506426.0,Balance Sheet
4,Tangible Book Value,2211078000.0,993402117.0,994192254.0,Balance Sheet
5,Invested Capital,2212078000.0,1048054765.0,1105698680.0,Balance Sheet
6,Working Capital,-95287000.0,-712260498.0,-1433503682.0,Balance Sheet
7,Net Tangible Assets,2211078000.0,993402117.0,994192254.0,Balance Sheet
8,Common Stock Equity,2211078000.0,993402117.0,994192254.0,Balance Sheet
9,Total Capitalization,2211078000.0,1019029015.0,1105642161.0,Balance Sheet
10,Total Equity Gross Minority Interest,2211078000.0,993402117.0,994192254.0,Balance Sheet
11,Stockholders Equity,2211078000.0,993402117.0,994192254.0,Balance Sheet
12,Other Equity Interest,2048216000.0,,,Balance Sheet
13,Fixed Assets Revaluation Reserve,,0.0,0.0,Balance Sheet
14,Retained Earnings,1276211000.0,646654557.0,776352254.0,Balance Sheet
15,Additional Paid In Capital,0.0,0.0,0.0,Balance Sheet
16,Capital Stock,162862000.0,162861590.0,217840000.0,Balance Sheet
17,Common Stock,162862000.0,162861590.0,217840000.0,Balance Sheet
18,Total Liabilities Net Minority Interest,102561000.0,1536385708.0,1797472679.0,Balance Sheet
19,Total Non Current Liabilities Net Minority Interest,0.0,644758271.0,122966340.0,Balance Sheet
20,Non Current Pension And Other Postretirement Benefit Plans,,619131373.0,11516433.0,Balance Sheet
21,Non Current Deferred Revenue,,,0.0,Balance Sheet
22,Non Current Deferred Taxes Liabilities,0.0,0.0,0.0,Balance Sheet
23,Long Term Debt And Capital Lease Obligation,0.0,25626898.0,111449907.0,Balance Sheet
24,Long Term Debt,0.0,25626898.0,111449907.0,Balance Sheet
25,Long Term Provisions,,619131373.0,11516433.0,Balance Sheet
26,Current Liabilities,102561000.0,891627437.0,1674506339.0,Balance Sheet
27,Other Current Liabilities,312000.0,,1.0,Balance Sheet
28,Current Deferred Taxes Liabilities,,0.0,619131373.0,Balance Sheet
29,Current Debt And Capital Lease Obligation,1000000.0,29025750.0,56519.0,Balance Sheet
30,Current Debt,1000000.0,29025750.0,56519.0,Balance Sheet
31,Current Provisions,268000.0,11988950.0,11859898.0,Balance Sheet
32,Payables,97866000.0,850612737.0,1662589921.0,Balance Sheet
33,Other Payable,694000.0,6240098.0,242059082.0,Balance Sheet
34,Total Tax Payable,0.0,0.0,948052614.0,Balance Sheet
35,Accounts Payable,97866000.0,844372639.0,472478225.0,Balance Sheet
36,Total Assets,2313639000.0,2529787825.0,2791664933.0,Balance Sheet
37,Total Non Current Assets,2306364000.0,2350420886.0,2550662276.0,Balance Sheet
38,Other Non Current Assets,1000.0,-1.0,-1.0,Balance Sheet
39,Non Current Prepaid Assets,19088000.0,19753119.0,18749631.0,Balance Sheet
40,Non Current Deferred Taxes Assets,0.0,9639749.0,9639749.0,Balance Sheet
41,Investmentin Financial Assets,23301000.0,25587360.0,45426689.0,Balance Sheet
42,Available For Sale Securities,23301000.0,25587360.0,45426689.0,Balance Sheet
43,Long Term Equity Investment,,,0.0,Balance Sheet
44,Investmentsin Subsidiariesat Cost,,,0.0,Balance Sheet
45,Investment Properties,0.0,,,Balance Sheet
46,Goodwill And Other Intangible Assets,0.0,,,Balance Sheet
47,Other Intangible Assets,911000.0,,,Balance Sheet
48,Goodwill,0.0,,,Balance Sheet
49,Net PPE,17003000.0,19884265.0,33918656.0,Balance Sheet
50,Accumulated Depreciation,-125593000.0,-121703629.0,-117207002.0,Balance Sheet
51,Gross PPE,17003000.0,141587894.0,151125658.0,Balance Sheet
52,Construction In Progress,0.0,0.0,9537764.0,Balance Sheet
53,Other Properties,17003000.0,,,Balance Sheet
54,Machinery Furniture Equipment,141418000.0,141587894.0,141587894.0,Balance Sheet
55,Properties,0.0,0.0,0.0,Balance Sheet
56,Current Assets,7274000.0,179366939.0,241002657.0,Balance Sheet
57,Other Current Assets,2281000.0,168509.0,,Balance Sheet
58,Prepaid Assets,1381000.0,171579549.0,234407393.0,Balance Sheet
59,Inventory,0.0,0.0,1281942.0,Balance Sheet
60,Finished Goods,0.0,0.0,1281942.0,Balance Sheet
61,Other Receivables,165000.0,,54703.0,Balance Sheet
62,Taxes Receivable,0.0,4487122.0,2008711.0,Balance Sheet
63,Accounts Receivable,0.0,0.0,0.0,Balance Sheet
64,Allowance For Doubtful Accounts Receivable,,,0.0,Balance Sheet
65,Gross Accounts Receivable,,,0.0,Balance Sheet
66,Cash Cash Equivalents And Short Term Investments,4993000.0,3131759.0,3249908.0,Balance Sheet
67,Other Short Term Investments,1381000.0,,,Balance Sheet
68,Cash And Cash Equivalents,3612000.0,3131759.0,3249908.0,Balance Sheet
69,Cash Financial,3612000.0,3131759.0,3249908.0,Balance Sheet
0,Free Cash Flow,14408000.0,57836552.0,-152351817.0,Cash Flow
1,Repurchase Of Capital Stock,0.0,,,Cash Flow
2,End Cash Position,3612000.0,3131759.0,3249908.0,Cash Flow
3,Other Cash Adjustment Outside Changein Cash,,,1.0,Cash Flow
4,Beginning Cash Position,3132000.0,3249908.0,6512368.0,Cash Flow
5,Changes In Cash,480000.0,-118149.0,-3262461.0,Cash Flow
6,Financing Cash Flow,-13928000.0,-57954701.0,111260787.0,Cash Flow
7,Net Other Financing Charges,,-1157442.0,,Cash Flow
8,Net Common Stock Issuance,0.0,,0.0,Cash Flow
9,Common Stock Payments,0.0,,,Cash Flow
10,Net Issuance Payments Of Debt,-13928000.0,-56797259.0,111260787.0,Cash Flow
11,Net Short Term Debt Issuance,0.0,29025750.0,0.0,Cash Flow
12,Net Long Term Debt Issuance,-13928000.0,-85823009.0,111260787.0,Cash Flow
13,Investing Cash Flow,0.0,0.0,37828569.0,Cash Flow
14,Net Business Purchase And Sale,0.0,,,Cash Flow
15,Purchase Of Business,0.0,,,Cash Flow
